GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
INGBanking,com.banking,IngBankingApplication,5,3,0,0,2,1,1,1,1,1
INGBanking,com.banking.swagger,SwaggerConfiguration,0,14,0,0,0,6,0,2,0,2
INGBanking,com.banking.exception,ApplicationException,22,0,0,0,9,0,4,0,4,0
INGBanking,com.banking.controller,LoginController,0,3,0,0,0,1,0,1,0,1
INGBanking,com.banking.controller,TransactionController,0,3,0,0,0,1,0,1,0,1
INGBanking,com.banking.controller,BankingExceptionController,17,0,0,0,4,0,2,0,2,0
INGBanking,com.banking.controller,AccountControlller,11,3,0,0,2,1,1,1,1,1
INGBanking,com.banking.service,LoginServiceImpl,0,3,0,0,0,1,0,1,0,1
INGBanking,com.banking.service,TransactionServiceImpl,0,3,0,0,0,1,0,1,0,1
INGBanking,com.banking.service,AccountServiceImpl,5,12,1,1,1,4,1,2,0,2
INGBanking,com.banking.entity,Account,97,45,0,0,14,22,12,12,12,12
INGBanking,com.banking.entity,Login,91,3,0,0,22,2,15,1,15,1
INGBanking,com.banking.entity,Transaction,115,3,0,0,28,2,19,1,19,1
INGBanking,com.banking.dto,TransactionDto,118,0,0,0,30,0,20,0,20,0
INGBanking,com.banking.dto,LoginDto,34,0,0,0,8,0,6,0,6,0
INGBanking,com.banking.dto,AccountDto,142,0,0,0,36,0,24,0,24,0
INGBanking,com.banking.dto,Message,10,0,0,0,4,0,3,0,3,0
